0,0
0.00058,-0.00425
0.00233,-0.00843
0.00525,-0.01252
0.00931,-0.01649
0.01453,-0.02036
0.02088,-0.02412
0.02834,-0.02774
0.03691,-0.03124
0.04656,-0.03458
0.05727,-0.03776
0.06902,-0.04078
0.08176,-0.0436
0.09549,-0.04624
0.11016,-0.04867
0.12574,-0.05089
0.1422,-0.05288
0.15949,-0.05465
0.17758,-0.05619
0.19642,-0.05748
0.21597,-0.05854
0.23618,-0.05936
0.25701,-0.05994
0.2784,-0.06028
0.30032,-0.0604
0.3227,-0.06028
0.34549,-0.05995
0.36865,-0.05942
0.39211,-0.05868
0.41582,-0.05775
0.43973,-0.05665
0.46378,-0.05539
0.48792,-0.05397
0.51208,-0.05242
0.53622,-0.05074
0.56027,-0.04894
0.58418,-0.04705
0.60789,-0.04507
0.63135,-0.04302
0.65451,-0.04091
0.6773,-0.03874
0.69968,-0.03655
0.7216,-0.03432
0.74299,-0.03208
0.76382,-0.02984
0.78403,-0.0276
0.80358,-0.02539
0.82242,-0.0232
0.84051,-0.02106
0.8578,-0.01896
0.87426,-0.01693
0.88984,-0.01497
0.90451,-0.01309
0.91824,-0.01129
0.93098,-0.00961
0.94273,-0.00803
0.95344,-0.00657
0.96309,-0.00524
0.97166,-0.00404
0.97912,-0.00299
0.98547,-0.00209
0.99068,-0.00135
0.99475,-0.00076
0.99767,-0.00034
0.99942,-0.00008
1,0
