0	0
0.00086	0.006997
0.004833	0.014049
0.011907	0.02112
0.022051	0.028152
0.035214	0.035076
0.051324	0.041808
0.070289	0.048257
0.091996	0.054325
0.116313	0.059918
0.143088	0.064941
0.172151	0.069309
0.203313	0.072947
0.236371	0.075794
0.271106	0.077802
0.307289	0.078941
0.34468	0.079198
0.383032	0.078574
0.421921	0.077122
0.461143	0.075034
0.500588	0.072381
0.540008	0.06922
0.579155	0.065609
0.617788	0.061615
0.655665	0.057302
0.692554	0.052741
0.728228	0.048
0.762469	0.043149
0.795069	0.03826
0.82583	0.033404
0.854565	0.028653
0.881104	0.024079
0.905287	0.019752
0.926971	0.01574
0.946027	0.01211
0.962343	0.008922
0.975825	0.006231
0.986392	0.004086
0.993984	0.002524
0.998557	0.001575
1	0
