nodenumber     x-coordinate     y-coordinate pressure-coefficient 
         1 -1.984819632E-01 -6.039302589E-02 -9.104009857E-02 
         2 -1.948716138E-01 -6.039059433E-02 -9.155709671E-02 
         3 -2.020800630E-01 -6.038950627E-02 -9.047695196E-02 
         4 -1.912492375E-01 -6.038223397E-02 -9.202865152E-02 
         5 -2.056656914E-01 -6.038001421E-02 -8.986694677E-02 
         6 -1.876150578E-01 -6.036796835E-02 -9.245546387E-02 
         7 -2.092386270E-01 -6.036452959E-02 -8.920936724E-02 
         8 -1.839692989E-01 -6.034782212E-02 -9.283823091E-02 
         9 -2.127986495E-01 -6.034303338E-02 -8.850349122E-02 
        10 -1.803121855E-01 -6.032182109E-02 -9.317764670E-02 
        11 -2.163455394E-01 -6.031550768E-02 -8.774858930E-02 
        12 -1.766439434E-01 -6.028999220E-02 -9.347440269E-02 
        13 -2.198790779E-01 -6.028193568E-02 -8.694392397E-02 
        14 -1.729647987E-01 -6.025236355E-02 -9.372918818E-02 
        15 -2.233990469E-01 -6.024230166E-02 -8.608874864E-02 
        16 -1.692749784E-01 -6.020896437E-02 -9.394269073E-02 
        17 -2.269052295E-01 -6.019659098E-02 -8.518230673E-02 
        18 -1.655747101E-01 -6.015982504E-02 -9.411559658E-02 
        19 -2.303974092E-01 -6.014479007E-02 -8.422383064E-02 
        20 -1.618642220E-01 -6.010497709E-02 -9.424859093E-02 
        21 -2.338753707E-01 -6.008688641E-02 -8.321254069E-02 
        22 -1.581437431E-01 -6.004445315E-02 -9.434235827E-02 
        23 -2.373388995E-01 -6.002286852E-02 -8.214764397E-02 
        24 -1.544135028E-01 -5.997828702E-02 -9.439758259E-02 
        25 -2.407877819E-01 -5.995272593E-02 -8.102833317E-02 
        26 -1.506737313E-01 -5.990651359E-02 -9.441494755E-02 
        27 -2.442218053E-01 -5.987644922E-02 -7.985378533E-02 
        28 -1.469246591E-01 -5.982916887E-02 -9.439513646E-02 
        29 -2.476407577E-01 -5.979402993E-02 -7.862316052E-02 
        30 -1.431665175E-01 -5.974629000E-02 -9.433883245E-02 
        31 -2.510444283E-01 -5.970546059E-02 -7.733560047E-02 
        32 -1.393995385E-01 -5.965791518E-02 -9.424671885E-02 
