nodenumber     x-coordinate     y-coordinate pressure-coefficient 
         1 -1.000000000E-16 -5.000000000E-01 -3.337560034E+00 
         2 -3.139525976E-02 -4.990133642E-01 -3.314453282E+00 
         3  3.139525976E-02 -4.990133642E-01 -3.293790890E+00 
         4 -6.266661678E-02 -4.960573507E-01 -3.230358821E+00 
         5  6.266661678E-02 -4.960573507E-01 -3.186871964E+00 
         6 -9.369065729E-02 -4.911436254E-01 -3.096697043E+00 
         7  9.369065729E-02 -4.911436254E-01 -3.027841109E+00 
         8 -1.243449436E-01 -4.842915806E-01 -2.925514266E+00 
         9  1.243449436E-01 -4.842915806E-01 -2.828549707E+00 
        10 -1.545084972E-01 -4.755282581E-01 -2.726171857E+00 
        11  1.545084972E-01 -4.755282581E-01 -2.599375320E+00 
        12 -1.840622763E-01 -4.648882429E-01 -2.505685499E+00 
        13  1.840622763E-01 -4.648882429E-01 -2.348691574E+00 
        14 -2.128896458E-01 -4.524135262E-01 -2.270147440E+00 
        15  2.128896458E-01 -4.524135262E-01 -2.082785843E+00 
        16 -2.408768371E-01 -4.381533400E-01 -2.025093824E+00 
        17  2.408768371E-01 -4.381533400E-01 -1.806897982E+00 
        18 -2.679133975E-01 -4.221639628E-01 -1.773638050E+00 
        19  2.679133975E-01 -4.221639628E-01 -1.525742650E+00 
        20 -2.938926261E-01 -4.045084972E-01 -1.517432678E+00 
        21  2.938926261E-01 -4.045084972E-01 -1.244664981E+00 
        22 -3.187119949E-01 -3.852566214E-01 -1.260413434E+00 
        23  3.187119949E-01 -3.852566214E-01 -9.694759289E-01 
        24 -3.422735530E-01 -3.644843137E-01 -1.006504956E+00 
        25  3.422735530E-01 -3.644843137E-01 -7.064511383E-01 
        26 -3.644843137E-01 -3.422735530E-01 -7.575776288E-01 
        27  3.644843137E-01 -3.422735530E-01 -4.597345268E-01 
        28 -3.852566214E-01 -3.187119949E-01 -5.146244077E-01 
        29  3.852566214E-01 -3.187119949E-01 -2.323866352E-01 
        30 -4.045084972E-01 -2.938926261E-01 -2.798652347E-01 
        31  4.045084972E-01 -2.938926261E-01 -2.819605425E-02 
        32 -4.221639628E-01 -2.679133975E-01 -5.698134287E-02 
        33  4.221639628E-01 -2.679133975E-01  1.495891190E-01 
        34 -4.381533400E-01 -2.408768371E-01  1.507896493E-01 
        35  4.381533400E-01 -2.408768371E-01  2.979892179E-01 
        36 -4.524135262E-01 -2.128896458E-01  3.407113195E-01 
        37  4.524135262E-01 -2.128896458E-01  4.158982010E-01 
        38 -4.648882429E-01 -1.840622763E-01  5.107042898E-01 
        39  4.648882429E-01 -1.840622763E-01  5.044126518E-01 
        40 -4.755282581E-01 -1.545084972E-01  6.589913064E-01 
        41  4.755282581E-01 -1.545084972E-01  5.668716871E-01 
        42 -4.842915806E-01 -1.243449436E-01  7.837621831E-01 
        43  4.842915806E-01 -1.243449436E-01  6.082793865E-01 
        44 -4.911436254E-01 -9.369065729E-02  8.833987538E-01 
        45  4.911436254E-01 -9.369065729E-02  6.341893125E-01 
        46 -4.960573507E-01 -6.266661678E-02  9.560047879E-01 
        47  4.960573507E-01 -6.266661678E-02  6.495933158E-01 
        48 -4.990133642E-01 -3.139525976E-02  1.000629211E+00 
        49  4.990133642E-01 -3.139525976E-02  6.578727574E-01 
        50 -5.000000000E-01  0.000000000E+00  1.015987909E+00 
        51  5.000000000E-01  0.000000000E+00  6.605174280E-01 
        52 -4.990133642E-01  3.139525976E-02  1.000629212E+00 
        53  4.990133642E-01  3.139525976E-02  6.578727574E-01 
        54 -4.960573507E-01  6.266661678E-02  9.560047894E-01 
        55  4.960573507E-01  6.266661678E-02  6.495933159E-01 
        56 -4.911436254E-01  9.369065729E-02  8.833987559E-01 
        57  4.911436254E-01  9.369065729E-02  6.341893126E-01 
        58 -4.842915806E-01  1.243449436E-01  7.837621858E-01 
        59  4.842915806E-01  1.243449436E-01  6.082793866E-01 
        60 -4.755282581E-01  1.545084972E-01  6.589913098E-01 
        61  4.755282581E-01  1.545084972E-01  5.668716874E-01 
        62 -4.648882429E-01  1.840622763E-01  5.107042938E-01 
        63  4.648882429E-01  1.840622763E-01  5.044126523E-01 
        64 -4.524135262E-01  2.128896458E-01  3.407113242E-01 
        65  4.524135262E-01  2.128896458E-01  4.158982018E-01 
        66 -4.381533400E-01  2.408768371E-01  1.507896546E-01 
        67  4.381533400E-01  2.408768371E-01  2.979892192E-01 
        68 -4.221639628E-01  2.679133975E-01 -5.698133697E-02 
