nodenumber     x-coordinate     y-coordinate pressure-coefficient 
         1 -2.128896458E-01 -6.034247995E-02 -8.183831699E-02 
         2 -1.545084972E-01 -5.998010666E-02 -9.083991767E-02 
         3 -2.679133975E-01 -5.916703310E-02 -6.090094345E-02 
         4 -9.369065729E-02 -5.818807383E-02 -9.028774997E-02 
         5 -3.187119949E-01 -5.641510362E-02 -2.447077278E-02 
         6 -3.139525976E-02 -5.514418009E-02 -8.281641425E-02 
         7 -3.644843137E-01 -5.210385207E-02  3.445374746E-02 
         8  3.139525976E-02 -5.107795954E-02 -7.020269915E-02 
         9 -4.045084972E-01 -4.629112784E-02  1.220451606E-01 
        10  9.369065729E-02 -4.624051911E-02 -5.468916007E-02 
        11  1.545084972E-01 -4.087472159E-02 -3.746730525E-02 
        12 -4.381533400E-01 -3.907104688E-02  2.552845758E-01 
        13  2.128896458E-01 -3.519779778E-02 -1.884456392E-02 
        14 -4.648882429E-01 -3.058475268E-02  4.564149832E-01 
        15  2.679133975E-01 -2.940123054E-02  1.449147827E-03 
        16  3.187119949E-01 -2.366333289E-02  2.431660154E-02 
        17 -4.842915806E-01 -2.103980837E-02  6.863939863E-01 
        18  3.644843137E-01 -1.816387037E-02  5.066266451E-02 
        19  4.045084972E-01 -1.309051883E-02  8.157093377E-02 
        20 -4.960573507E-01 -1.072400942E-02  7.490709730E-01 
        21  4.381533400E-01 -8.632977998E-03  1.183336051E-01 
        22  4.648882429E-01 -4.968038931E-03  1.641214186E-01 
        23  4.842915806E-01 -2.243263192E-03  2.204903642E-01 
        24  4.960573507E-01 -5.660348559E-04  3.117010420E-01 
        25 -5.000000000E-01  0.000000000E+00  4.750070301E-01 
        26  5.000000000E-01  0.000000000E+00  3.158456829E-01 
        27  4.960573507E-01  5.660348559E-04  2.747503163E-01 
        28  4.842915806E-01  2.243263192E-03  1.892514311E-01 
        29  4.648882429E-01  4.968038931E-03  1.331561928E-01 
        30  4.381533400E-01  8.632977998E-03  7.891149845E-02 
        31 -4.960573507E-01  1.072400942E-02 -1.658497906E-01 
        32  4.045084972E-01  1.309051883E-02  2.766780439E-02 
        33  3.644843137E-01  1.816387037E-02 -2.274729348E-02 
        34 -4.842915806E-01  2.103980837E-02 -8.386408796E-01 
        35  3.187119949E-01  2.366333289E-02 -7.272650116E-02 
        36  2.679133975E-01  2.940123054E-02 -1.224905948E-01 
        37 -4.648882429E-01  3.058475268E-02 -1.046208711E+00 
        38  2.128896458E-01  3.519779778E-02 -1.730557117E-01 
        39 -4.381533400E-01  3.907104688E-02 -1.038748689E+00 
        40  1.545084972E-01  4.087472159E-02 -2.256067429E-01 
        41  9.369065729E-02  4.624051911E-02 -2.813620896E-01 
        42 -4.045084972E-01  4.629112784E-02 -9.666182784E-01 
        43  3.139525976E-02  5.107795954E-02 -3.411845129E-01 
        44 -3.644843137E-01  5.210385207E-02 -8.801425279E-01 
        45 -3.139525976E-02  5.514418009E-02 -4.053559717E-01 
        46 -3.187119949E-01  5.641510362E-02 -7.918623098E-01 
        47 -9.369065729E-02  5.818807383E-02 -4.739665666E-01 
        48 -2.679133975E-01  5.916703310E-02 -7.052385971E-01 
        49 -1.545084972E-01  5.998010666E-02 -5.471861083E-01 
        50 -2.128896458E-01  6.034247995E-02 -6.243368798E-01 
