nodenumber     x-coordinate     y-coordinate pressure-coefficient 
         1 -3.139525976E-02 -4.990133642E-01 -2.158684505E+00 
         2  3.139525976E-02 -4.990133642E-01 -2.013694931E+00 
         3 -9.369065729E-02 -4.911436254E-01 -2.096350779E+00 
         4  9.369065729E-02 -4.911436254E-01 -1.612686581E+00 
         5 -1.545084972E-01 -4.755282581E-01 -1.932872577E+00 
         6  1.545084972E-01 -4.755282581E-01 -1.146220361E+00 
         7 -2.128896458E-01 -4.524135262E-01 -1.658176677E+00 
         8  2.128896458E-01 -4.524135262E-01 -7.619117489E-01 
         9 -2.679133975E-01 -4.221639628E-01 -1.289431439E+00 
        10  2.679133975E-01 -4.221639628E-01 -5.018581114E-01 
        11 -3.187119949E-01 -3.852566214E-01 -8.760272589E-01 
        12  3.187119949E-01 -3.852566214E-01 -3.760831851E-01 
        13 -3.644843137E-01 -3.422735530E-01 -4.579862587E-01 
        14  3.644843137E-01 -3.422735530E-01 -3.404634772E-01 
        15 -4.045084972E-01 -2.938926261E-01 -5.384182363E-02 
        16  4.045084972E-01 -2.938926261E-01 -3.386788382E-01 
        17 -4.381533400E-01 -2.408768371E-01  3.123017570E-01 
        18  4.381533400E-01 -2.408768371E-01 -3.432512806E-01 
        19 -4.648882429E-01 -1.840622763E-01  6.116265712E-01 
        20  4.648882429E-01 -1.840622763E-01 -3.473550704E-01 
        21 -4.842915806E-01 -1.243449436E-01  8.324285366E-01 
        22  4.842915806E-01 -1.243449436E-01 -3.462246953E-01 
        23 -4.960573507E-01 -6.266661678E-02  9.714588279E-01 
        24  4.960573507E-01 -6.266661678E-02 -3.401338131E-01 
        25 -5.000000000E-01  0.000000000E+00  1.019720494E+00 
        26  5.000000000E-01  0.000000000E+00 -3.364189575E-01 
        27 -4.960573507E-01  6.266661678E-02  9.714588276E-01 
        28  4.960573507E-01  6.266661678E-02 -3.401337946E-01 
        29 -4.842915806E-01  1.243449436E-01  8.324285363E-01 
        30  4.842915806E-01  1.243449436E-01 -3.462246264E-01 
        31 -4.648882429E-01  1.840622763E-01  6.116265718E-01 
        32  4.648882429E-01  1.840622763E-01 -3.473549587E-01 
        33 -4.381533400E-01  2.408768371E-01  3.123017595E-01 
        34  4.381533400E-01  2.408768371E-01 -3.432511679E-01 
        35 -4.045084972E-01  2.938926261E-01 -5.384181826E-02 
        36  4.045084972E-01  2.938926261E-01 -3.386787638E-01 
        37 -3.644843137E-01  3.422735530E-01 -4.579862494E-01 
        38  3.644843137E-01  3.422735530E-01 -3.404634386E-01 
        39 -3.187119949E-01  3.852566214E-01 -8.760272446E-01 
        40  3.187119949E-01  3.852566214E-01 -3.760831231E-01 
        41 -2.679133975E-01  4.221639628E-01 -1.289431418E+00 
        42  2.679133975E-01  4.221639628E-01 -5.018579729E-01 
        43 -2.128896458E-01  4.524135262E-01 -1.658176645E+00 
        44  2.128896458E-01  4.524135262E-01 -7.619115483E-01 
        45 -1.545084972E-01  4.755282581E-01 -1.932872528E+00 
        46  1.545084972E-01  4.755282581E-01 -1.146220149E+00 
        47 -9.369065729E-02  4.911436254E-01 -2.096350710E+00 
        48  9.369065729E-02  4.911436254E-01 -1.612686397E+00 
        49 -3.139525976E-02  4.990133642E-01 -2.158684408E+00 
        50  3.139525976E-02  4.990133642E-01 -2.013694793E+00 
