nodenumber     x-coordinate     y-coordinate pressure-coefficient 
         1 -3.421913206E-01 -4.476024316E-02  2.139877940E-01 
         2 -3.393179408E-01 -4.475985593E-02  2.127017857E-01 
         3 -3.450435693E-01 -4.475474277E-02  2.153463350E-01 
         4 -3.364236089E-01 -4.475372646E-02  2.114932057E-01 
         5 -3.478745381E-01 -4.474323495E-02  2.167854306E-01 
         6 -3.335085335E-01 -4.474200820E-02  2.103557971E-01 
         7 -3.506840482E-01 -4.472552104E-02  2.183116790E-01 
         8 -3.305728932E-01 -4.472488145E-02  2.092795349E-01 
         9 -3.276168371E-01 -4.470245540E-02  2.082617447E-01 
        10 -3.534719208E-01 -4.470150493E-02  2.199298009E-01 
        11 -3.246405739E-01 -4.467488287E-02  2.073034851E-01 
        12 -3.562379771E-01 -4.467099962E-02  2.216511051E-01 
        13 -3.216442823E-01 -4.464232354E-02  2.063962057E-01 
        14 -3.589820681E-01 -4.463388397E-02  2.234786354E-01 
        15 -3.186281410E-01 -4.460492218E-02  2.055345187E-01 
        16 -3.617039854E-01 -4.459000281E-02  2.254206690E-01 
        17 -3.155923290E-01 -4.456281029E-02  2.047183489E-01 
        18 -3.644036096E-01 -4.453921790E-02  2.274814768E-01 
        19 -3.125370548E-01 -4.451616075E-02  2.039401566E-01 
        20 -3.670807323E-01 -4.448138802E-02  2.296674243E-01 
        21 -3.094624973E-01 -4.446507297E-02  2.031998370E-01 
        22 -3.697352343E-01 -4.441636452E-02  2.319890521E-01 
        23 -3.063688352E-01 -4.440973793E-02  2.024925204E-01 
        24 -3.032562771E-01 -4.435025456E-02  2.018137066E-01 
        25 -3.723668772E-01 -4.434399868E-02  2.344499930E-01 
        26 -3.001250020E-01 -4.428679614E-02  2.011625633E-01 
        27 -3.749755717E-01 -4.426417769E-02  2.370575233E-01 
        28 -2.969751885E-01 -4.421947524E-02  2.005332598E-01 
        29 -3.775611391E-01 -4.417674315E-02  2.398188999E-01 
        30 -2.938070751E-01 -4.414843692E-02  1.999269318E-01 
        31 -3.801234006E-01 -4.408158203E-02  2.427437867E-01 
        32 -2.906208407E-01 -4.407381828E-02  1.993379259E-01 
        33 -2.874166342E-01 -4.399573133E-02  1.987656582E-01 
        34 -3.826622073E-01 -4.397853945E-02  2.458351557E-01 
