nodenumber     x-coordinate     y-coordinate pressure-coefficient 
         1 -2.408768386E-01 -3.412231803E-02 -6.603386742E-02 
         2 -2.269952446E-01 -3.410019353E-02 -6.471510154E-02 
         3 -2.545207143E-01 -3.409594297E-02 -6.723925058E-02 
         4 -2.128896415E-01 -3.403060511E-02 -6.331221639E-02 
         5 -2.679134011E-01 -3.401989117E-02 -6.829163952E-02 
         6 -1.985739470E-01 -3.391440958E-02 -6.182763475E-02 
         7 -2.810416818E-01 -3.389281780E-02 -6.915040008E-02 
         8 -1.840622723E-01 -3.375235200E-02 -6.024096282E-02 
         9 -2.938926220E-01 -3.371322155E-02 -6.978572756E-02 
        10 -1.693689674E-01 -3.354508430E-02 -5.853307645E-02 
        11 -3.064535260E-01 -3.347947821E-02 -7.015917963E-02 
        12 -1.545085013E-01 -3.329312429E-02 -5.668276424E-02 
        13 -3.187119961E-01 -3.318984061E-02 -7.020464561E-02 
        14 -1.394955516E-01 -3.299700469E-02 -5.466663069E-02 
        15 -3.306559324E-01 -3.284249827E-02 -6.983135810E-02 
        16 -1.243449450E-01 -3.265721351E-02 -5.246044962E-02 
        17 -3.422735631E-01 -3.243558854E-02 -6.892222277E-02 
        18 -1.090716198E-01 -3.227430582E-02 -5.003860364E-02 
        19 -3.535533845E-01 -3.196725994E-02 -6.733471831E-02 
        20 -9.369065613E-02 -3.184890747E-02 -4.737757566E-02 
        21 -3.644843102E-01 -3.143569455E-02 -6.491681623E-02 
        22 -7.821723074E-02 -3.138180822E-02 -4.445678480E-02 
        23 -6.266661733E-02 -3.087390587E-02 -4.125639726E-02 
        24 -3.750555217E-01 -3.083921038E-02 -6.148648740E-02 
        25 -4.705415666E-02 -3.032635339E-02 -3.775915196E-02 
        26 -3.852566183E-01 -3.017623723E-02 -5.682345244E-02 
        27 -3.139526024E-02 -2.974054590E-02 -3.395501955E-02 
        28 -3.950774968E-01 -2.944541350E-02 -5.068799613E-02 
        29 -1.570537873E-02 -2.911811322E-02 -2.983261518E-02 
        30 -4.045085013E-01 -2.864566445E-02 -4.280709163E-02 
        31 -1.000000000E-16 -2.846100926E-02 -2.540648633E-02 
        32 -4.135402739E-01 -2.777617984E-02 -3.287110409E-02 
        33  1.570537873E-02 -2.777142450E-02 -2.070414609E-02 
        34  3.139526024E-02 -2.705186978E-02 -1.574567295E-02 
        35 -4.221639633E-01 -2.683650330E-02 -2.053447434E-02 
        36  4.705415666E-02 -2.630511858E-02 -1.055657860E-02 
        37 -4.303710163E-01 -2.582654543E-02 -5.352347340E-03 
        38  6.266661733E-02 -2.553419769E-02 -5.162983252E-03 
        39 -4.381533265E-01 -2.474665269E-02  1.316405751E-02 
        40  7.821723074E-02 -2.474235371E-02  4.034174630E-04 
        41  9.369065613E-02 -2.393300459E-02  6.105693811E-03 
        42 -4.455032647E-01 -2.359759435E-02  3.546958608E-02 
        43  1.090716198E-01 -2.310971171E-02  1.190035933E-02 
        44 -4.524135292E-01 -2.238063700E-02  6.211541355E-02 
        45  1.243449450E-01 -2.227610722E-02  1.774108699E-02 
        46  1.394955516E-01 -2.143584564E-02  2.358095899E-02 
        47 -4.588773251E-01 -2.109746821E-02  9.387387393E-02 
        48  1.545085013E-01 -2.059254050E-02  2.937295047E-02 
        49 -4.648882449E-01 -1.975031197E-02  1.316015888E-01 
        50  1.693689674E-01 -1.974969730E-02  3.507289677E-02 
        51  1.840622723E-01 -1.891067252E-02  4.064053184E-02 
        52 -4.704403877E-01 -1.834184676E-02  1.762031864E-01 
        53  1.985739470E-01 -1.807858795E-02  4.604047472E-02 
        54  2.128896415E-01 -1.725631207E-02  5.124299840E-02 
        55 -4.755282700E-01 -1.687522605E-02  2.287866196E-01 
        56  2.269952446E-01 -1.644640416E-02  5.622399395E-02 
        57  2.408768386E-01 -1.565105841E-02  6.096772158E-02 
        58 -4.801468551E-01 -1.535408664E-02  2.901682736E-01 
        59  2.545207143E-01 -1.487212442E-02  6.546582915E-02 
        60  2.679134011E-01 -1.411104761E-02  6.971816215E-02 
        61 -4.842915833E-01 -1.378247421E-02  3.602206381E-01 
        62  2.810416818E-01 -1.336890459E-02  7.373353522E-02 
        63  2.938926220E-01 -1.264639013E-02  7.752908264E-02 
        64 -4.879583716E-01 -1.216488145E-02  4.423012106E-01 
        65  3.064535260E-01 -1.194384415E-02  8.113181003E-02 
        66  3.187119961E-01 -1.126129460E-02  8.457762118E-02 
        67  3.306559324E-01 -1.059848815E-02  8.791087322E-02 
        68 -4.911436141E-01 -1.050614845E-02  5.417606899E-01 
        69  3.422735631E-01 -9.954938665E-03  9.118510415E-02 
        70  3.535533845E-01 -9.330005385E-03  9.446134407E-02 
        71 -4.938441813E-01 -8.811472915E-03  6.576275982E-01 
        72  3.644843102E-01 -8.722923696E-03  9.780737348E-02 
        73  3.750555217E-01 -8.132890798E-03  1.012970709E-01 
        74  3.852566183E-01 -7.559129968E-03  1.050075932E-01 
        75 -4.960573614E-01 -7.086387370E-03  7.788164483E-01 
        76  3.950774968E-01 -7.000948302E-03  1.090191840E-01 
        77  4.045085013E-01 -6.457785144E-03  1.134164898E-01 
        78  4.135402739E-01 -5.929286592E-03  1.182887479E-01 
        79  4.221639633E-01 -5.415328313E-03  1.237311703E-01 
        80 -4.977809787E-01 -5.336658098E-03  8.915168817E-01 
        81  4.303710163E-01 -4.916065373E-03  1.298431925E-01 
        82  4.381533265E-01 -4.431952257E-03  1.367205504E-01 
        83  4.455032647E-01 -3.963734023E-03  1.444577136E-01 
        84 -4.990133643E-01 -3.568230895E-03  9.764498445E-01 
        85  4.524135292E-01 -3.512469120E-03  1.531505661E-01 
        86  4.588773251E-01 -3.079518676E-03  1.628945439E-01 
        87  4.648882449E-01 -2.666495508E-03  1.737922775E-01 
        88  4.704403877E-01 -2.275241073E-03  1.859596488E-01 
        89  4.755282700E-01 -1.907793223E-03  1.995301614E-01 
        90 -4.997532666E-01 -1.787313842E-03  1.011422480E+00 
        91  4.801468551E-01 -1.566300867E-03  2.146720085E-01 
        92  4.842915833E-01 -1.253005699E-03  2.316053233E-01 
