nodenumber     x-coordinate     y-coordinate pressure-coefficient 
         1 -2.545207143E-01 -3.754361346E-02  1.119263936E-01 
         2 -2.679134011E-01 -3.753870353E-02  1.174841433E-01 
         3 -2.408768386E-01 -3.746386617E-02  1.074146301E-01 
         4 -2.810416818E-01 -3.744627908E-02  1.241956784E-01 
         5 -2.269952446E-01 -3.730276600E-02  1.038382696E-01 
         6 -2.938926220E-01 -3.726399690E-02  1.321687046E-01 
         7 -2.128896415E-01 -3.706402332E-02  1.010883586E-01 
         8 -3.064535260E-01 -3.699006885E-02  1.415279811E-01 
         9 -1.985739470E-01 -3.675164655E-02  9.905926814E-02 
        10 -3.187119961E-01 -3.662332147E-02  1.524023303E-01 
        11 -1.840622723E-01 -3.636993468E-02  9.764362761E-02 
        12 -3.306559324E-01 -3.616322577E-02  1.649003175E-01 
        13 -1.693689674E-01 -3.592339903E-02  9.679178318E-02 
        14 -3.422735631E-01 -3.560993448E-02  1.791258642E-01 
        15 -1.545085013E-01 -3.541664034E-02  9.636161245E-02 
        16 -3.535533845E-01 -3.496427089E-02  1.951802778E-01 
        17 -1.394955516E-01 -3.485444188E-02  9.628977428E-02 
        18 -1.243449450E-01 -3.424156085E-02  9.660825127E-02 
        19 -3.644843102E-01 -3.422775120E-02  2.131444143E-01 
        20 -1.090716198E-01 -3.358280659E-02  9.723726721E-02 
        21 -3.750555217E-01 -3.340258822E-02  2.330908460E-01 
        22 -9.369065613E-02 -3.288296610E-02  9.812439943E-02 
        23 -3.852566183E-01 -3.249158710E-02  2.550930481E-01 
        24 -7.821723074E-02 -3.214678168E-02  9.920662961E-02 
        25 -3.950774968E-01 -3.149817884E-02  2.792407164E-01 
        26 -6.266661733E-02 -3.137888387E-02  1.004255970E-01 
        27 -4.705415666E-02 -3.058385290E-02  1.017458037E-01 
        28 -4.045085013E-01 -3.042635880E-02  3.056420252E-01 
        29 -3.139526024E-02 -2.976616845E-02  1.031413374E-01 
        30 -4.135402739E-01 -2.928056754E-02  3.347593238E-01 
        31 -1.570537873E-02 -2.893016860E-02  1.045849830E-01 
        32 -1.000000000E-16 -2.808010019E-02  1.060428629E-01 
        33 -4.221639633E-01 -2.806564979E-02  3.669832728E-01 
        34  1.570537873E-02 -2.722003125E-02  1.074732858E-01 
        35 -4.303710163E-01 -2.678675763E-02  4.023534663E-01 
        36  3.139526024E-02 -2.635390870E-02  1.088571600E-01 
        37  4.705415666E-02 -2.548550628E-02  1.101801927E-01 
        38 -4.381533265E-01 -2.544925362E-02  4.409750485E-01 
        39  6.266661733E-02 -2.461842634E-02  1.114156474E-01 
        40 -4.455032647E-01 -2.405862324E-02  4.830016867E-01 
        41  7.821723074E-02 -2.375606447E-02  1.125378242E-01 
        42  9.369065613E-02 -2.290160581E-02  1.135256256E-01 
        43 -4.524135292E-01 -2.262039483E-02  5.286232522E-01 
        44  1.090716198E-01 -2.205798402E-02  1.143779338E-01 
        45  1.243449450E-01 -2.122787200E-02  1.150801974E-01 
        46 -4.588773251E-01 -2.113997936E-02  5.780308246E-01 
        47  1.394955516E-01 -2.041364089E-02  1.156035824E-01 
        48 -4.648882449E-01 -1.962267607E-02  6.313643883E-01 
        49  1.545085013E-01 -1.961733960E-02  1.159262669E-01 
        50  1.693689674E-01 -1.884065755E-02  1.160212676E-01 
        51  1.840622723E-01 -1.808493026E-02  1.158677261E-01 
        52 -4.704403877E-01 -1.807351783E-02  6.886222835E-01 
        53  1.985739470E-01 -1.735107973E-02  1.154527734E-01 
        54  2.128896415E-01 -1.663963869E-02  1.147722725E-01 
        55 -4.755282700E-01 -1.649723016E-02  7.494784894E-01 
        56  2.269952446E-01 -1.595072635E-02  1.138254464E-01 
        57  2.408768386E-01 -1.528404281E-02  1.126263786E-01 
        58 -4.801468551E-01 -1.489819773E-02  8.129190146E-01 
        59  2.545207143E-01 -1.463891380E-02  1.111893427E-01 
        60  2.679134011E-01 -1.401427202E-02  1.095278059E-01 
        61  2.810416818E-01 -1.340872701E-02  1.076708935E-01 
        62 -4.842915833E-01 -1.328037400E-02  8.764317487E-01 
        63  2.938926220E-01 -1.282058842E-02  1.056544782E-01 
        64  3.064535260E-01 -1.224792469E-02  1.035245168E-01 
        65  3.187119961E-01 -1.168863848E-02  1.013357129E-01 
        66 -4.879583716E-01 -1.164730825E-02  9.348152216E-01 
        67  3.306559324E-01 -1.114052162E-02  9.915117992E-02 
        68  3.422735631E-01 -1.060134452E-02  9.703971759E-02 
        69  3.535533845E-01 -1.006893907E-02  9.506545831E-02 
        70 -4.911436141E-01 -1.000208966E-02  9.773565744E-01 
        71  3.644843102E-01 -9.541277774E-03  9.329650347E-02 
        72  3.750555217E-01 -9.016554803E-03  9.181557530E-02 
        73  3.852566183E-01 -8.493275382E-03  9.076228959E-02 
        74 -4.938441813E-01 -8.347382769E-03  9.827460268E-01 
        75  3.950774968E-01 -7.970328443E-03  9.014773466E-02 
        76  4.045085013E-01 -7.447032258E-03  9.007765828E-02 
        77  4.135402739E-01 -6.923216861E-03  9.075454172E-02 
        78 -4.960573614E-01 -6.685491651E-03  9.153277543E-01 
        79  4.221639633E-01 -6.399240810E-03  9.223639952E-02 
        80  4.303710163E-01 -5.876027979E-03  9.461356019E-02 
        81  4.381533265E-01 -5.355076399E-03  9.800372427E-02 
        82 -4.977809787E-01 -5.018325988E-03  7.373024251E-01 
        83  4.455032647E-01 -4.838428460E-03  1.025146875E-01 
        84  4.524135292E-01 -4.328662995E-03  1.081633093E-01 
        85  4.588773251E-01 -3.828856861E-03  1.150211975E-01 
        86 -4.990133643E-01 -3.347462742E-03  4.115859833E-01 
        87  4.648882449E-01 -3.342498327E-03  1.232170010E-01 
        88  4.704403877E-01 -2.873419318E-03  1.328345580E-01 
        89  4.755282700E-01 -2.425726736E-03  1.439743622E-01 
        90  4.801468551E-01 -2.003664151E-03  1.567608865E-01 
        91 -4.997532666E-01 -1.674334984E-03 -6.550001721E-02 
        92  4.842915833E-01 -1.611558138E-03  1.713584702E-01 
        93  4.879583716E-01 -1.253633993E-03  1.880122431E-01 
        94  4.911436141E-01 -9.339786484E-04  2.071040164E-01 
        95  4.938441813E-01 -6.563726929E-04  2.293033555E-01 
        96  4.960573614E-01 -4.242233117E-04  2.556809779E-01 
        97  4.977809787E-01 -2.404719125E-04  2.885474954E-01 
        98  4.990133643E-01 -1.074681059E-04  3.296862119E-01 
        99  4.997532666E-01 -2.696122647E-05  3.950962667E-01 
       100 -5.000000000E-01  0.000000000E+00 -6.148224217E-01 
       101  5.000000000E-01  0.000000000E+00  4.031639756E-01 
       102  4.997532666E-01  2.915303230E-05  3.801523196E-01 
       103  4.990133643E-01  1.167516239E-04  3.248044662E-01 
       104  4.977809787E-01  2.632842516E-04  2.934310186E-01 
       105  4.960573614E-01  4.695023235E-04  2.666683007E-01 
       106  4.938441813E-01  7.364405901E-04  2.445289275E-01 
       107  4.911436141E-01  1.065303339E-03  2.252612685E-01 
       108  4.879583716E-01  1.457453705E-03  2.079117166E-01 
       109 -4.997532666E-01  1.896620030E-03 -1.202239538E+00 
       110  4.842915833E-01  1.914343215E-03  1.917964663E-01 
       111  4.801468551E-01  2.437392948E-03  1.764669740E-01 
       112  4.755282700E-01  3.027984174E-03  1.616057617E-01 
       113  4.704403877E-01  3.687278368E-03  1.469740462E-01 
       114 -4.990133643E-01  3.794017015E-03 -1.701306904E+00 
       115  4.648882449E-01  4.416235257E-03  1.323970048E-01 
       116  4.588773251E-01  5.215453915E-03  1.177469674E-01 
       117 -4.977809787E-01  5.693166517E-03 -2.011598717E+00 
       118  4.524135292E-01  6.085167173E-03  1.029260162E-01 
       119  4.455032647E-01  7.025144063E-03  8.786424635E-02 
       120 -4.960573614E-01  7.594672497E-03 -2.099889220E+00 
       121  4.381533265E-01  8.034613915E-03  7.251292054E-02 
       122  4.303710163E-01  9.112279862E-03  5.683599173E-02 
       123 -4.938441813E-01  9.499054402E-03 -2.079997240E+00 
       124  4.221639633E-01  1.025627740E-02  4.081012455E-02 
       125 -4.911436141E-01  1.140654180E-02 -1.997485083E+00 
