nodenumber     x-coordinate     y-coordinate pressure-coefficient 
         1 -3.422735631E-01 -4.476024956E-02  2.147686977E-01 
         2 -3.306559324E-01 -4.472550750E-02  2.093983348E-01 
         3 -3.535533845E-01 -4.470079765E-02  2.214755990E-01 
         4 -3.187119961E-01 -4.460608214E-02  2.050580644E-01 
         5 -3.644843102E-01 -4.453769326E-02  2.298918866E-01 
         6 -3.064535260E-01 -4.441135377E-02  2.015000620E-01 
         7 -3.750555217E-01 -4.426172376E-02  2.404049573E-01 
         8 -2.938926220E-01 -4.415043816E-02  1.985031519E-01 
         9 -3.852566183E-01 -4.386402667E-02  2.534589125E-01 
        10 -2.810416818E-01 -4.383201897E-02  1.958819233E-01 
        11 -2.679134011E-01 -4.346424714E-02  1.934735039E-01 
        12 -3.950774968E-01 -4.333631322E-02  2.695421300E-01 
        13 -2.545207143E-01 -4.305461794E-02  1.911414683E-01 
        14 -4.045085013E-01 -4.267109558E-02  2.891473471E-01 
        15 -2.408768386E-01 -4.260987043E-02  1.887809303E-01 
        16 -2.269952446E-01 -4.213595390E-02  1.863044910E-01 
        17 -4.135402739E-01 -4.186172783E-02  3.128060536E-01 
        18 -2.128896415E-01 -4.163798690E-02  1.836444026E-01 
        19 -1.985739470E-01 -4.112017527E-02  1.807930103E-01 
        20 -4.221639633E-01 -4.090262577E-02  3.410301285E-01 
        21 -1.840622723E-01 -4.058592021E-02  1.777844686E-01 
        22 -1.693689674E-01 -4.003781080E-02  1.746072719E-01 
        23 -4.303710163E-01 -3.978937864E-02  3.742022395E-01 
        24 -1.545085013E-01 -3.947758675E-02  1.712476975E-01 
        25 -1.394955516E-01 -3.890637308E-02  1.677266154E-01 
        26 -4.381533265E-01 -3.851889819E-02  4.125416744E-01 
        27 -1.243449450E-01 -3.832461685E-02  1.640705813E-01 
        28 -1.090716198E-01 -3.773225844E-02  1.603180358E-01 
        29 -9.369065613E-02 -3.712884709E-02  1.565107890E-01 
        30 -4.455032647E-01 -3.708947822E-02  4.564811450E-01 
        31 -7.821723074E-02 -3.651363403E-02  1.526934241E-01 
        32 -6.266661733E-02 -3.588563949E-02  1.489139671E-01 
        33 -4.524135292E-01 -3.550093621E-02  5.075948296E-01 
        34 -4.705415666E-02 -3.524384648E-02  1.452208750E-01 
        35 -3.139526024E-02 -3.458729759E-02  1.416593449E-01 
        36 -1.570537873E-02 -3.391510993E-02  1.382747351E-01 
        37 -4.588773251E-01 -3.375453874E-02  5.664990858E-01 
        38 -1.000000000E-16 -3.322666883E-02  1.351079913E-01 
        39  1.570537873E-02 -3.252159432E-02  1.321653189E-01 
        40 -4.648882449E-01 -3.185321391E-02  6.323332545E-01 
        41  3.139526024E-02 -3.179986402E-02  1.294412393E-01 
        42  4.705415666E-02 -3.106180578E-02  1.269451877E-01 
        43  6.266661733E-02 -3.030814044E-02  1.246811420E-01 
        44 -4.704403877E-01 -2.980140969E-02  7.039400463E-01 
        45  7.821723074E-02 -2.953995392E-02  1.226471166E-01 
        46  9.369065613E-02 -2.875867859E-02  1.208339797E-01 
        47  1.090716198E-01 -2.796605229E-02  1.192247065E-01 
        48 -4.755282700E-01 -2.760512568E-02  7.791101434E-01 
        49  1.243449450E-01 -2.716408297E-02  1.177946575E-01 
        50  1.394955516E-01 -2.635493688E-02  1.165146124E-01 
        51  1.545085013E-01 -2.554091811E-02  1.153509764E-01 
        52 -4.801468551E-01 -2.527193725E-02  8.539329008E-01 
        53  1.693689674E-01 -2.472433448E-02  1.142673436E-01 
        54  1.840622723E-01 -2.390746772E-02  1.132270231E-01 
        55  1.985739470E-01 -2.309244499E-02  1.121940290E-01 
        56 -4.842915833E-01 -2.281082235E-02  9.224087573E-01 
        57  2.128896415E-01 -2.228120342E-02  1.111362945E-01 
        58  2.269952446E-01 -2.147540450E-02  1.100283782E-01 
        59  2.408768386E-01 -2.067637071E-02  1.088542281E-01 
        60 -4.879583716E-01 -2.023220062E-02  9.740643399E-01 
        61  2.545207143E-01 -1.988508552E-02  1.076047179E-01 
        62  2.679134011E-01 -1.910213009E-02  1.062757945E-01 
        63  2.810416818E-01 -1.832770556E-02  1.048710648E-01 
        64  2.938926220E-01 -1.756163873E-02  1.034057156E-01 
        65 -4.911436141E-01 -1.754771732E-02  9.949575355E-01 
        66  3.064535260E-01 -1.680341549E-02  1.019040295E-01 
        67  3.187119961E-01 -1.605223492E-02  1.004038722E-01 
        68  3.306559324E-01 -1.530707441E-02  9.895615297E-02 
        69 -4.938441813E-01 -1.477019116E-02  9.681050771E-01 
        70  3.422735631E-01 -1.456675958E-02  9.763139106E-02 
        71  3.535533845E-01 -1.383007877E-02  9.648940165E-02 
        72  3.644843102E-01 -1.309585012E-02  9.561101614E-02 
        73  3.750555217E-01 -1.236304268E-02  9.512210923E-02 
        74 -4.960573614E-01 -1.191353612E-02  8.721536750E-01 
        75  3.852566183E-01 -1.163087506E-02  9.512429756E-02 
        76  3.950774968E-01 -1.089890767E-02  9.570962993E-02 
        77  4.045085013E-01 -1.016711630E-02  9.700846705E-02 
        78  4.135402739E-01 -9.435997345E-03  9.915108500E-02 
        79 -4.977809787E-01 -8.992493153E-03  6.874442444E-01 
        80  4.221639633E-01 -8.706594817E-03  1.022614381E-01 
        81  4.303710163E-01 -7.980572060E-03  1.064768420E-01 
        82  4.381533265E-01 -7.260216866E-03  1.118978146E-01 
        83  4.455032647E-01 -6.548425648E-03  1.185788440E-01 
        84 -4.990133643E-01 -6.022471469E-03  4.002730353E-01 
        85  4.524135292E-01 -5.848697852E-03  1.266332180E-01 
        86  4.588773251E-01 -5.165110342E-03  1.361953123E-01 
        87  4.648882449E-01 -4.502202850E-03  1.473664238E-01 
        88  4.704403877E-01 -3.864910454E-03  1.602618575E-01 
        89  4.755282700E-01 -3.258486977E-03  1.750073166E-01 
        90 -4.997532666E-01 -3.019599710E-03  1.558506485E-02 
        91  4.801468551E-01 -2.688329667E-03  1.917615201E-01 
