nodenumber     x-coordinate     y-coordinate pressure-coefficient 
         1 -3.187119961E-01 -5.062182620E-02 -6.441434342E-01 
         2 -3.064535260E-01 -5.057582259E-02 -6.096561662E-01 
         3 -3.306559324E-01 -5.055724457E-02 -6.800906680E-01 
         4 -2.938926220E-01 -5.042653531E-02 -5.767641721E-01 
         5 -3.422735631E-01 -5.037504435E-02 -7.172545228E-01 
         6 -2.810416818E-01 -5.018141866E-02 -5.454172628E-01 
         7 -3.535533845E-01 -5.006855726E-02 -7.553901631E-01 
         8 -2.679134011E-01 -4.984791577E-02 -5.155870827E-01 
         9 -3.644843102E-01 -4.963167012E-02 -7.943136129E-01 
        10 -2.545207143E-01 -4.943335056E-02 -4.873055266E-01 
        11 -3.750555217E-01 -4.905894399E-02 -8.338978047E-01 
        12 -2.408768386E-01 -4.894481599E-02 -4.605643574E-01 
        13 -2.269952446E-01 -4.838906974E-02 -4.353362914E-01 
        14 -3.852566183E-01 -4.834564403E-02 -8.736436828E-01 
        15 -2.128896415E-01 -4.777247459E-02 -4.115788076E-01 
        16 -3.950774968E-01 -4.748788849E-02 -9.129147082E-01 
        17 -1.985739470E-01 -4.710086435E-02 -3.892396420E-01 
        18 -4.045085013E-01 -4.648283124E-02 -9.514175448E-01 
        19 -1.840622723E-01 -4.637961090E-02 -3.682726629E-01 
        20 -1.693689674E-01 -4.561351985E-02 -3.485683185E-01 
        21 -4.135402739E-01 -4.532854632E-02 -9.888438660E-01 
        22 -1.545085013E-01 -4.480678216E-02 -3.300091765E-01 
        23 -4.221639633E-01 -4.402419925E-02 -1.024644685E+00 
        24 -1.394955516E-01 -4.396314174E-02 -3.125314108E-01 
        25 -1.243449450E-01 -4.308576882E-02 -2.960428579E-01 
        26 -4.303710163E-01 -4.257002100E-02 -1.058094180E+00 
        27 -1.090716198E-01 -4.217740148E-02 -2.804418596E-01 
        28 -9.369065613E-02 -4.124040157E-02 -2.656294085E-01 
        29 -4.381533265E-01 -4.096738622E-02 -1.088287068E+00 
