nodenumber     x-coordinate     y-coordinate pressure-coefficient 
         1 -3.185526343E-01 -5.062175169E-02 -6.567478944E-01 
         2 -3.160369646E-01 -5.062057546E-02 -6.491880255E-01 
         3 -3.210645770E-01 -5.061753707E-02 -6.641986885E-01 
         4 -3.135165585E-01 -5.061460491E-02 -6.415055616E-01 
         5 -3.235738408E-01 -5.060861359E-02 -6.718225070E-01 
         6 -3.109904646E-01 -5.060428747E-02 -6.340355830E-01 
         7 -3.260814835E-01 -5.059484024E-02 -6.796386686E-01 
         8 -3.084577319E-01 -5.058972715E-02 -6.267954663E-01 
         9 -3.285886353E-01 -5.057606101E-02 -6.876575521E-01 
        10 -3.059174359E-01 -5.057101009E-02 -6.197211764E-01 
        11 -3.310964718E-01 -5.055210162E-02 -6.960166188E-01 
        12 -3.033687377E-01 -5.054813030E-02 -6.127806043E-01 
        13 -3.336062180E-01 -5.052276321E-02 -7.043307307E-01 
        14 -3.008107714E-01 -5.052019705E-02 -6.056351730E-01 
        15 -2.982426400E-01 -5.048832493E-02 -5.984375564E-01 
        16 -3.361191068E-01 -5.048681002E-02 -7.124493763E-01 
        17 -2.956635915E-01 -5.045257996E-02 -5.915378857E-01 
        18 -3.386365135E-01 -5.044500190E-02 -7.207457865E-01 
        19 -2.930727707E-01 -5.041300629E-02 -5.847868871E-01 
        20 -3.411598371E-01 -5.039712063E-02 -7.292183855E-01 
        21 -2.904694235E-01 -5.036963260E-02 -5.781765518E-01 
        22 -3.436905134E-01 -5.034288501E-02 -7.378954331E-01 
        23 -2.878527291E-01 -5.032188757E-02 -5.715010173E-01 
        24 -3.462300801E-01 -5.028199425E-02 -7.467769577E-01 
        25 -2.852219813E-01 -5.027002985E-02 -5.647090403E-01 
        26 -2.825763545E-01 -5.021451145E-02 -5.580498496E-01 
        27 -3.487801822E-01 -5.021410612E-02 -7.558648169E-01 
        28 -2.799150959E-01 -5.015534229E-02 -5.515776380E-01 
        29 -3.513425194E-01 -5.013883228E-02 -7.651673694E-01 
        30 -2.772374845E-01 -5.009252754E-02 -5.452182016E-01 
        31 -3.539188810E-01 -5.005576880E-02 -7.746771036E-01 
        32 -2.745427407E-01 -5.002603166E-02 -5.389520350E-01 
        33 -3.565111543E-01 -4.996443696E-02 -7.843950684E-01 
