nodenumber     x-coordinate     y-coordinate pressure-coefficient 
         1 -2.809555191E-01 -4.228343700E-02 -5.730515729E-02 
         2 -2.841949771E-01 -4.228279136E-02 -5.832022156E-02 
         3 -2.776987240E-01 -4.227986010E-02 -5.628515141E-02 
         4 -2.874168984E-01 -4.227785207E-02 -5.932888651E-02 
         5 -2.744247927E-01 -4.227213121E-02 -5.526121107E-02 
         6 -2.906210840E-01 -4.226854750E-02 -6.032948800E-02 
         7 -2.711339273E-01 -4.226032024E-02 -5.423387084E-02 
         8 -2.938073365E-01 -4.225480565E-02 -6.132023212E-02 
         9 -2.678263307E-01 -4.224449632E-02 -5.320283392E-02 
        10 -2.969754592E-01 -4.223655415E-02 -6.229923006E-02 
        11 -2.645022068E-01 -4.222472783E-02 -5.216880205E-02 
        12 -3.001252568E-01 -4.221372045E-02 -6.326451937E-02 
        13 -2.611617609E-01 -4.220108223E-02 -5.113487202E-02 
        14 -3.032565350E-01 -4.218623182E-02 -6.421406169E-02 
        15 -2.578051988E-01 -4.217362604E-02 -5.010350646E-02 
        16 -3.063691006E-01 -4.215401549E-02 -6.514574132E-02 
        17 -2.544327276E-01 -4.214242478E-02 -4.907588536E-02 
        18 -3.094627616E-01 -4.211699873E-02 -6.605736283E-02 
        19 -2.510445554E-01 -4.210754286E-02 -4.805313595E-02 
        20 -3.125373273E-01 -4.207510895E-02 -6.694664893E-02 
        21 -2.476408912E-01 -4.206904358E-02 -4.703620341E-02 
        22 -3.155926080E-01 -4.202827378E-02 -6.781123865E-02 
        23 -2.442219449E-01 -4.202698903E-02 -4.602593767E-02 
        24 -2.407879273E-01 -4.198144004E-02 -4.502311797E-02 
        25 -3.186284153E-01 -4.197642118E-02 -6.864868567E-02 
        26 -2.373390504E-01 -4.193245617E-02 -4.402846177E-02 
        27 -3.216445619E-01 -4.191947954E-02 -6.945645682E-02 
        28 -2.338755268E-01 -4.188009561E-02 -4.304262649E-02 
        29 -3.246408618E-01 -4.185737776E-02 -7.023193057E-02 
        30 -2.303975702E-01 -4.182441517E-02 -4.206620945E-02 
        31 -3.276171302E-01 -4.179004533E-02 -7.097239563E-02 
        32 -2.269053952E-01 -4.176547022E-02 -4.109974766E-02 
        33 -3.305731835E-01 -4.171741250E-02 -7.167504947E-02 
        34 -2.233992171E-01 -4.170331470E-02 -4.014371741E-02 
        35 -3.335088394E-01 -4.163941028E-02 -7.233699690E-02 
        36 -2.198792522E-01 -4.163800103E-02 -3.919853580E-02 
        37 -2.163457176E-01 -4.156958013E-02 -3.826455996E-02 
        38 -3.364239169E-01 -4.155597060E-02 -7.295524857E-02 
        39 -2.127988314E-01 -4.149810136E-02 -3.734208719E-02 
