nodenumber     x-coordinate     y-coordinate pressure-coefficient 
         1 -2.809555191E-01 -4.228343700E-02 -1.049034547E+00 
         2 -2.841949771E-01 -4.228279136E-02 -1.063065147E+00 
         3 -2.776987240E-01 -4.227986010E-02 -1.035245946E+00 
         4 -2.874168984E-01 -4.227785207E-02 -1.077342281E+00 
         5 -2.744247927E-01 -4.227213121E-02 -1.021694882E+00 
         6 -2.906210840E-01 -4.226854750E-02 -1.091870555E+00 
         7 -2.711339273E-01 -4.226032024E-02 -1.008376953E+00 
         8 -2.938073365E-01 -4.225480565E-02 -1.106654655E+00 
         9 -2.678263307E-01 -4.224449632E-02 -9.952878151E-01 
        10 -2.969754592E-01 -4.223655415E-02 -1.121699351E+00 
        11 -2.645022068E-01 -4.222472783E-02 -9.824231764E-01 
        12 -3.001252568E-01 -4.221372045E-02 -1.137009505E+00 
        13 -2.611617609E-01 -4.220108223E-02 -9.697787911E-01 
        14 -3.032565350E-01 -4.218623182E-02 -1.152590069E+00 
        15 -2.578051988E-01 -4.217362604E-02 -9.573504606E-01 
        16 -3.063691006E-01 -4.215401549E-02 -1.168446096E+00 
        17 -2.544327276E-01 -4.214242478E-02 -9.451340319E-01 
        18 -3.094627616E-01 -4.211699873E-02 -1.184582745E+00 
        19 -2.510445554E-01 -4.210754286E-02 -9.331255176E-01 
        20 -3.125373273E-01 -4.207510895E-02 -1.201005289E+00 
        21 -2.476408912E-01 -4.206904358E-02 -9.213216686E-01 
        22 -3.155926080E-01 -4.202827378E-02 -1.217719121E+00 
        23 -2.442219449E-01 -4.202698903E-02 -9.097190011E-01 
        24 -2.407879273E-01 -4.198144004E-02 -8.983127394E-01 
        25 -3.186284153E-01 -4.197642118E-02 -1.234729767E+00 
        26 -2.373390504E-01 -4.193245617E-02 -8.870984421E-01 
        27 -3.216445619E-01 -4.191947954E-02 -1.252042898E+00 
        28 -2.338755268E-01 -4.188009561E-02 -8.760723590E-01 
        29 -3.246408618E-01 -4.185737776E-02 -1.269664348E+00 
        30 -2.303975702E-01 -4.182441517E-02 -8.652306418E-01 
        31 -3.276171302E-01 -4.179004533E-02 -1.287600140E+00 
        32 -2.269053952E-01 -4.176547022E-02 -8.545694404E-01 
        33 -3.305731835E-01 -4.171741250E-02 -1.305856539E+00 
        34 -2.233992171E-01 -4.170331470E-02 -8.440849090E-01 
        35 -3.335088394E-01 -4.163941028E-02 -1.324440178E+00 
        36 -2.198792522E-01 -4.163800103E-02 -8.337731347E-01 
        37 -2.163457176E-01 -4.156958013E-02 -8.236302123E-01 
        38 -3.364239169E-01 -4.155597060E-02 -1.343358112E+00 
        39 -2.127988314E-01 -4.149810136E-02 -8.136520305E-01 
        40 -3.393182361E-01 -4.146702641E-02 -1.362617531E+00 
        41 -2.092388122E-01 -4.142361255E-02 -8.038346828E-01 
        42 -3.421916186E-01 -4.137251171E-02 -1.382225673E+00 
        43 -2.056658797E-01 -4.134615994E-02 -7.941750081E-01 
        44 -3.450438871E-01 -4.127236172E-02 -1.402189896E+00 
