nodenumber     x-coordinate     y-coordinate pressure-coefficient 
         1 -2.809555191E-01 -4.228343700E-02 -7.120345622E-01 
         2 -2.841949771E-01 -4.228279136E-02 -7.212123824E-01 
         3 -2.776987240E-01 -4.227986010E-02 -7.030000727E-01 
         4 -2.874168984E-01 -4.227785207E-02 -7.305353947E-01 
         5 -2.744247927E-01 -4.227213121E-02 -6.941070530E-01 
         6 -2.906210840E-01 -4.226854750E-02 -7.400054634E-01 
         7 -2.711339273E-01 -4.226032024E-02 -6.853536409E-01 
         8 -2.938073365E-01 -4.225480565E-02 -7.496244578E-01 
         9 -2.678263307E-01 -4.224449632E-02 -6.767379712E-01 
        10 -2.969754592E-01 -4.223655415E-02 -7.593942555E-01 
        11 -2.645022068E-01 -4.222472783E-02 -6.682581744E-01 
        12 -3.001252568E-01 -4.221372045E-02 -7.693167451E-01 
        13 -2.611617609E-01 -4.220108223E-02 -6.599123756E-01 
        14 -3.032565350E-01 -4.218623182E-02 -7.793938301E-01 
        15 -2.578051988E-01 -4.217362604E-02 -6.516986932E-01 
        16 -3.063691006E-01 -4.215401549E-02 -7.896274351E-01 
        17 -2.544327276E-01 -4.214242478E-02 -6.436152386E-01 
        18 -3.094627616E-01 -4.211699873E-02 -8.000195093E-01 
        19 -2.510445554E-01 -4.210754286E-02 -6.356601150E-01 
        20 -3.125373273E-01 -4.207510895E-02 -8.105720346E-01 
        21 -2.476408912E-01 -4.206904358E-02 -6.278314165E-01 
        22 -3.155926080E-01 -4.202827378E-02 -8.212870349E-01 
        23 -2.442219449E-01 -4.202698903E-02 -6.201272275E-01 
        24 -2.407879273E-01 -4.198144004E-02 -6.125456226E-01 
        25 -3.186284153E-01 -4.197642118E-02 -8.321665781E-01 
        26 -2.373390504E-01 -4.193245617E-02 -6.050846662E-01 
        27 -3.216445619E-01 -4.191947954E-02 -8.432127742E-01 
        28 -2.338755268E-01 -4.188009561E-02 -5.977424118E-01 
        29 -3.246408618E-01 -4.185737776E-02 -8.544277555E-01 
        30 -2.303975702E-01 -4.182441517E-02 -5.905169029E-01 
        31 -3.276171302E-01 -4.179004533E-02 -8.658136222E-01 
        32 -2.269053952E-01 -4.176547022E-02 -5.834061720E-01 
        33 -3.305731835E-01 -4.171741250E-02 -8.773723438E-01 
        34 -2.233992171E-01 -4.170331470E-02 -5.764082413E-01 
        35 -3.335088394E-01 -4.163941028E-02 -8.891054260E-01 
        36 -2.198792522E-01 -4.163800103E-02 -5.695211228E-01 
        37 -2.163457176E-01 -4.156958013E-02 -5.627428182E-01 
        38 -3.364239169E-01 -4.155597060E-02 -9.010131832E-01 
        39 -2.127988314E-01 -4.149810136E-02 -5.560713194E-01 
        40 -3.393182361E-01 -4.146702641E-02 -9.130953084E-01 
        41 -2.092388122E-01 -4.142361255E-02 -5.495046090E-01 
        42 -3.421916186E-01 -4.137251171E-02 -9.253515423E-01 
        43 -2.056658797E-01 -4.134615994E-02 -5.430406611E-01 
        44 -3.450438871E-01 -4.127236172E-02 -9.377840576E-01 
        45 -2.020802543E-01 -4.126578817E-02 -5.366774412E-01 
        46 -1.984821572E-01 -4.118254033E-02 -5.304129076E-01 
        47 -3.478748658E-01 -4.116651292E-02 -9.503964846E-01 
        48 -1.948718102E-01 -4.109645789E-02 -5.242450117E-01 
        49 -3.506843800E-01 -4.105490318E-02 -9.631919250E-01 
        50 -1.912494362E-01 -4.100758073E-02 -5.181716985E-01 
        51 -3.534722565E-01 -4.093747183E-02 -9.761737271E-01 
        52 -1.876152585E-01 -4.091594717E-02 -5.121909083E-01 
        53 -1.839695013E-01 -4.082159393E-02 -5.063005767E-01 
        54 -3.562383233E-01 -4.081415972E-02 -9.893448961E-01 
        55 -1.803123896E-01 -4.072455620E-02 -5.004986362E-01 
        56 -3.589824098E-01 -4.068490938E-02 -1.002708310E+00 
        57 -1.766441488E-01 -4.062486760E-02 -4.947830171E-01 
        58 -3.617043469E-01 -4.054966505E-02 -1.016266701E+00 
        59 -1.729650054E-01 -4.052256027E-02 -4.891516479E-01 
        60 -1.692751861E-01 -4.041766483E-02 -4.836024573E-01 
        61 -3.644039666E-01 -4.040837276E-02 -1.030022746E+00 
        62 -1.655749186E-01 -4.031021044E-02 -4.781333749E-01 
        63 -3.670811026E-01 -4.026098045E-02 -1.043979119E+00 
        64 -1.618644313E-01 -4.020022485E-02 -4.727423323E-01 
        65 -3.697355896E-01 -4.010743803E-02 -1.058138547E+00 
        66 -1.581439529E-01 -4.008773440E-02 -4.674272649E-01 
        67 -1.544137129E-01 -3.997276409E-02 -4.621861127E-01 
        68 -3.723672640E-01 -3.994769744E-02 -1.072503845E+00 
        69 -1.506739415E-01 -3.985533762E-02 -4.570168217E-01 
        70 -3.749759635E-01 -3.978171275E-02 -1.087077944E+00 
        71 -1.469248693E-01 -3.973547741E-02 -4.519173456E-01 
        72 -1.431667276E-01 -3.961320470E-02 -4.468856467E-01 
        73 -3.775615273E-01 -3.960944022E-02 -1.101863912E+00 
        74 -1.393997483E-01 -3.948853954E-02 -4.419196978E-01 
        75 -3.801237959E-01 -3.943083838E-02 -1.116864995E+00 
        76 -1.356241636E-01 -3.936150092E-02 -4.370174832E-01 
        77 -3.826626113E-01 -3.924586808E-02 -1.132084413E+00 
        78 -1.318402065E-01 -3.923210675E-02 -4.321770008E-01 
        79 -1.280481104E-01 -3.910037398E-02 -4.273962628E-01 
        80 -3.851778170E-01 -3.905449256E-02 -1.147526185E+00 
        81 -1.242481093E-01 -3.896631865E-02 -4.226732980E-01 
        82 -3.876692579E-01 -3.885667754E-02 -1.163192761E+00 
        83 -1.204404374E-01 -3.882995593E-02 -4.180061527E-01 
        84 -1.166253297E-01 -3.869130022E-02 -4.133928927E-01 
        85 -3.901367804E-01 -3.865239121E-02 -1.179086517E+00 
        86 -1.128030216E-01 -3.855036520E-02 -4.088316047E-01 
        87 -3.925802323E-01 -3.844160436E-02 -1.195212531E+00 
        88 -1.089737487E-01 -3.840716392E-02 -4.043203977E-01 
        89 -1.051377474E-01 -3.826170883E-02 -3.998574047E-01 
        90 -3.949994630E-01 -3.822429040E-02 -1.211575993E+00 
        91 -1.012952542E-01 -3.811401193E-02 -3.954407844E-01 
        92 -3.973943233E-01 -3.800042538E-02 -1.228175008E+00 
        93 -9.744650610E-02 -3.796408475E-02 -3.910687225E-01 
        94 -9.359174061E-02 -3.781193850E-02 -3.867394331E-01 
        95 -3.997646656E-01 -3.776998809E-02 -1.245014092E+00 
        96 -8.973119547E-02 -3.765758413E-02 -3.824511608E-01 
        97 -4.021103438E-01 -3.753296007E-02 -1.262120997E+00 
        98 -8.586510882E-02 -3.750103237E-02 -3.782021820E-01 
        99 -8.199371913E-02 -3.734229385E-02 -3.739908071E-01 
       100 -4.044312132E-01 -3.728932565E-02 -1.279513131E+00 
       101 -7.811726521E-02 -3.718137916E-02 -3.698153838E-01 
       102 -4.067271309E-01 -3.703907200E-02 -1.297187750E+00 
       103 -7.423598617E-02 -3.701829894E-02 -3.656743026E-01 
       104 -7.035012144E-02 -3.685306392E-02 -3.615660088E-01 
       105 -4.089979552E-01 -3.678218913E-02 -1.315138694E+00 
       106 -6.645991072E-02 -3.668568504E-02 -3.574890222E-01 
       107 -4.112435462E-01 -3.651866998E-02 -1.333362720E+00 
       108 -6.256559396E-02 -3.651617351E-02 -3.534419795E-01 
       109 -5.866741139E-02 -3.634454085E-02 -3.494236090E-01 
       110 -4.134637655E-01 -3.624851037E-02 -1.351863903E+00 
       111 -5.476560346E-02 -3.617079903E-02 -3.454323949E-01 
       112 -5.086041086E-02 -3.599496049E-02 -3.414665643E-01 
       113 -4.156584762E-01 -3.597170909E-02 -1.370647449E+00 
       114 -4.695207449E-02 -3.581703823E-02 -3.375247023E-01 
       115 -4.178275431E-01 -3.568826788E-02 -1.389718593E+00 
       116 -4.304083541E-02 -3.563704586E-02 -3.336056416E-01 
       117 -3.912693491E-02 -3.545499769E-02 -3.297081497E-01 
       118 -4.199708326E-01 -3.539819144E-02 -1.409082429E+00 
       119 -3.521061439E-02 -3.527090879E-02 -3.258310516E-01 
       120 -4.220882125E-01 -3.510148749E-02 -1.428743953E+00 
       121 -3.129211545E-02 -3.508479505E-02 -3.219732137E-01 
       122 -2.737167978E-02 -3.489667322E-02 -3.181335508E-01 
       123 -4.241795525E-01 -3.479816672E-02 -1.448708048E+00 
       124 -2.344954923E-02 -3.470656099E-02 -3.143110274E-01 
       125 -1.952596572E-02 -3.451447704E-02 -3.105046586E-01 
       126 -4.262447235E-01 -3.448824283E-02 -1.468979491E+00 
