nodenumber     x-coordinate     y-coordinate pressure-coefficient 
         1 -2.809555191E-01 -4.228343700E-02  3.507769934E-01 
         2 -2.841949771E-01 -4.228279136E-02  3.535321245E-01 
         3 -2.776987240E-01 -4.227986010E-02  3.480759661E-01 
         4 -2.874168984E-01 -4.227785207E-02  3.563435878E-01 
         5 -2.744247927E-01 -4.227213121E-02  3.454270680E-01 
         6 -2.906210840E-01 -4.226854750E-02  3.592134864E-01 
         7 -2.711339273E-01 -4.226032024E-02  3.428283424E-01 
         8 -2.938073365E-01 -4.225480565E-02  3.621436123E-01 
         9 -2.678263307E-01 -4.224449632E-02  3.402778977E-01 
        10 -2.969754592E-01 -4.223655415E-02  3.651359367E-01 
        11 -2.645022068E-01 -4.222472783E-02  3.377738965E-01 
        12 -3.001252568E-01 -4.221372045E-02  3.681926207E-01 
        13 -2.611617609E-01 -4.220108223E-02  3.353145477E-01 
        14 -3.032565350E-01 -4.218623182E-02  3.713162393E-01 
        15 -2.578051988E-01 -4.217362604E-02  3.328981499E-01 
        16 -3.063691006E-01 -4.215401549E-02  3.745095496E-01 
        17 -2.544327276E-01 -4.214242478E-02  3.305231094E-01 
        18 -3.094627616E-01 -4.211699873E-02  3.777750481E-01 
        19 -2.510445554E-01 -4.210754286E-02  3.281878783E-01 
        20 -3.125373273E-01 -4.207510895E-02  3.811151558E-01 
        21 -2.476408912E-01 -4.206904358E-02  3.258909425E-01 
        22 -3.155926080E-01 -4.202827378E-02  3.845323761E-01 
        23 -2.442219449E-01 -4.202698903E-02  3.236308370E-01 
        24 -2.407879273E-01 -4.198144004E-02  3.214061514E-01 
        25 -3.186284153E-01 -4.197642118E-02  3.880292694E-01 
        26 -2.373390504E-01 -4.193245617E-02  3.192155322E-01 
        27 -3.216445619E-01 -4.191947954E-02  3.916084690E-01 
        28 -2.338755268E-01 -4.188009561E-02  3.170576943E-01 
        29 -3.246408618E-01 -4.185737776E-02  3.952726832E-01 
        30 -2.303975702E-01 -4.182441517E-02  3.149314896E-01 
        31 -3.276171302E-01 -4.179004533E-02  3.990247007E-01 
        32 -2.269053952E-01 -4.176547022E-02  3.128357844E-01 
        33 -3.305731835E-01 -4.171741250E-02  4.028674193E-01 
        34 -2.233992171E-01 -4.170331470E-02  3.107694133E-01 
        35 -3.335088394E-01 -4.163941028E-02  4.068035519E-01 
        36 -2.198792522E-01 -4.163800103E-02  3.087312984E-01 
        37 -2.163457176E-01 -4.156958013E-02  3.067204249E-01 
        38 -3.364239169E-01 -4.155597060E-02  4.108357423E-01 
        39 -2.127988314E-01 -4.149810136E-02  3.047358379E-01 
        40 -3.393182361E-01 -4.146702641E-02  4.149668878E-01 
        41 -2.092388122E-01 -4.142361255E-02  3.027766380E-01 
        42 -3.421916186E-01 -4.137251171E-02  4.191999881E-01 
        43 -2.056658797E-01 -4.134615994E-02  3.008419794E-01 
        44 -3.450438871E-01 -4.127236172E-02  4.235380738E-01 
        45 -2.020802543E-01 -4.126578817E-02  2.989310696E-01 
        46 -1.984821572E-01 -4.118254033E-02  2.970431692E-01 
        47 -3.478748658E-01 -4.116651292E-02  4.279841855E-01 
        48 -1.948718102E-01 -4.109645789E-02  2.951775890E-01 
        49 -3.506843800E-01 -4.105490318E-02  4.325413765E-01 
        50 -1.912494362E-01 -4.100758073E-02  2.933336894E-01 
        51 -3.534722565E-01 -4.093747183E-02  4.372127251E-01 
        52 -1.876152585E-01 -4.091594717E-02  2.915108789E-01 
        53 -1.839695013E-01 -4.082159393E-02  2.897086134E-01 
        54 -3.562383233E-01 -4.081415972E-02  4.420013349E-01 
        55 -1.803123896E-01 -4.072455620E-02  2.879263954E-01 
        56 -3.589824098E-01 -4.068490938E-02  4.469103299E-01 
        57 -1.766441488E-01 -4.062486760E-02  2.861637729E-01 
        58 -3.617043469E-01 -4.054966505E-02  4.519428639E-01 
        59 -1.729650054E-01 -4.052256027E-02  2.844203382E-01 
        60 -1.692751861E-01 -4.041766483E-02  2.826957268E-01 
        61 -3.644039666E-01 -4.040837276E-02  4.571020966E-01 
        62 -1.655749186E-01 -4.031021044E-02  2.809896164E-01 
        63 -3.670811026E-01 -4.026098045E-02  4.623911841E-01 
        64 -1.618644313E-01 -4.020022485E-02  2.793017255E-01 
        65 -3.697355896E-01 -4.010743803E-02  4.678133014E-01 
        66 -1.581439529E-01 -4.008773440E-02  2.776318119E-01 
