nodenumber     x-coordinate     y-coordinate pressure-coefficient 
         1 -2.809555191E-01 -4.228343700E-02 -2.114442346E-01 
         2 -2.841949771E-01 -4.228279136E-02 -2.141950537E-01 
         3 -2.776987240E-01 -4.227986010E-02 -2.087164464E-01 
         4 -2.874168984E-01 -4.227785207E-02 -2.169703386E-01 
         5 -2.744247927E-01 -4.227213121E-02 -2.060130178E-01 
         6 -2.906210840E-01 -4.226854750E-02 -2.197713069E-01 
         7 -2.711339273E-01 -4.226032024E-02 -2.033348241E-01 
         8 -2.938073365E-01 -4.225480565E-02 -2.225960387E-01 
         9 -2.678263307E-01 -4.224449632E-02 -2.006826998E-01 
        10 -2.969754592E-01 -4.223655415E-02 -2.254425035E-01 
        11 -2.645022068E-01 -4.222472783E-02 -1.980573986E-01 
        12 -3.001252568E-01 -4.221372045E-02 -2.283084535E-01 
        13 -2.611617609E-01 -4.220108223E-02 -1.954596068E-01 
        14 -3.032565350E-01 -4.218623182E-02 -2.311918533E-01 
        15 -2.578051988E-01 -4.217362604E-02 -1.928899451E-01 
        16 -3.063691006E-01 -4.215401549E-02 -2.340907587E-01 
        17 -2.544327276E-01 -4.214242478E-02 -1.903489703E-01 
        18 -3.094627616E-01 -4.211699873E-02 -2.370032616E-01 
        19 -2.510445554E-01 -4.210754286E-02 -1.878371755E-01 
        20 -3.125373273E-01 -4.207510895E-02 -2.399274744E-01 
        21 -2.476408912E-01 -4.206904358E-02 -1.853549911E-01 
        22 -3.155926080E-01 -4.202827378E-02 -2.428615199E-01 
        23 -2.442219449E-01 -4.202698903E-02 -1.829027857E-01 
        24 -2.407879273E-01 -4.198144004E-02 -1.804808673E-01 
        25 -3.186284153E-01 -4.197642118E-02 -2.458035420E-01 
        26 -2.373390504E-01 -4.193245617E-02 -1.780894838E-01 
        27 -3.216445619E-01 -4.191947954E-02 -2.487515971E-01 
        28 -2.338755268E-01 -4.188009561E-02 -1.757288248E-01 
        29 -3.246408618E-01 -4.185737776E-02 -2.517036015E-01 
        30 -2.303975702E-01 -4.182441517E-02 -1.733990224E-01 
        31 -3.276171302E-01 -4.179004533E-02 -2.546574150E-01 
        32 -2.269053952E-01 -4.176547022E-02 -1.711001521E-01 
        33 -3.305731835E-01 -4.171741250E-02 -2.576108156E-01 
        34 -2.233992171E-01 -4.170331470E-02 -1.688322343E-01 
        35 -3.335088394E-01 -4.163941028E-02 -2.605613568E-01 
        36 -2.198792522E-01 -4.163800103E-02 -1.665952345E-01 
        37 -2.163457176E-01 -4.156958013E-02 -1.643890634E-01 
        38 -3.364239169E-01 -4.155597060E-02 -2.635062301E-01 
        39 -2.127988314E-01 -4.149810136E-02 -1.622135758E-01 
        40 -3.393182361E-01 -4.146702641E-02 -2.664410201E-01 
        41 -2.092388122E-01 -4.142361255E-02 -1.600685676E-01 
        42 -3.421916186E-01 -4.137251171E-02 -2.693561747E-01 
        43 -2.056658797E-01 -4.134615994E-02 -1.579537712E-01 
        44 -3.450438871E-01 -4.127236172E-02 -2.722484188E-01 
        45 -2.020802543E-01 -4.126578817E-02 -1.558688629E-01 
        46 -1.984821572E-01 -4.118254033E-02 -1.538135207E-01 
        47 -3.478748658E-01 -4.116651292E-02 -2.751208965E-01 
        48 -1.948718102E-01 -4.109645789E-02 -1.517875407E-01 
        49 -3.506843800E-01 -4.105490318E-02 -2.779735639E-01 
        50 -1.912494362E-01 -4.100758073E-02 -1.497906761E-01 
        51 -3.534722565E-01 -4.093747183E-02 -2.808055213E-01 
        52 -1.876152585E-01 -4.091594717E-02 -1.478224978E-01 
        53 -1.839695013E-01 -4.082159393E-02 -1.458825463E-01 
        54 -3.562383233E-01 -4.081415972E-02 -2.836144702E-01 
        55 -1.803123896E-01 -4.072455620E-02 -1.439703200E-01 
        56 -3.589824098E-01 -4.068490938E-02 -2.863975329E-01 
        57 -1.766441488E-01 -4.062486760E-02 -1.420853482E-01 
        58 -3.617043469E-01 -4.054966505E-02 -2.891514658E-01 
        59 -1.729650054E-01 -4.052256027E-02 -1.402261407E-01 
        60 -1.692751861E-01 -4.041766483E-02 -1.383915828E-01 
        61 -3.644039666E-01 -4.040837276E-02 -2.918728922E-01 
        62 -1.655749186E-01 -4.031021044E-02 -1.365818092E-01 
        63 -3.670811026E-01 -4.026098045E-02 -2.945583278E-01 
        64 -1.618644313E-01 -4.020022485E-02 -1.347964107E-01 
        65 -3.697355896E-01 -4.010743803E-02 -2.972041948E-01 
        66 -1.581439529E-01 -4.008773440E-02 -1.330346517E-01 
        67 -1.544137129E-01 -3.997276409E-02 -1.312957614E-01 
        68 -3.723672640E-01 -3.994769744E-02 -2.998068193E-01 
        69 -1.506739415E-01 -3.985533762E-02 -1.295789498E-01 
        70 -3.749759635E-01 -3.978171275E-02 -3.023624255E-01 
        71 -1.469248693E-01 -3.973547741E-02 -1.278834112E-01 
        72 -1.431667276E-01 -3.961320470E-02 -1.262083233E-01 
        73 -3.775615273E-01 -3.960944022E-02 -3.048671302E-01 
        74 -1.393997483E-01 -3.948853954E-02 -1.245528478E-01 
        75 -3.801237959E-01 -3.943083838E-02 -3.073169374E-01 
        76 -1.356241636E-01 -3.936150092E-02 -1.229161306E-01 
        77 -3.826626113E-01 -3.924586808E-02 -3.097077330E-01 
        78 -1.318402065E-01 -3.923210675E-02 -1.212973024E-01 
        79 -1.280481104E-01 -3.910037398E-02 -1.196954797E-01 
        80 -3.851778170E-01 -3.905449256E-02 -3.120352794E-01 
        81 -1.242481093E-01 -3.896631865E-02 -1.181097653E-01 
        82 -3.876692579E-01 -3.885667754E-02 -3.142952106E-01 
        83 -1.204404374E-01 -3.882995593E-02 -1.165392489E-01 
        84 -1.166253297E-01 -3.869130022E-02 -1.149830087E-01 
        85 -3.901367804E-01 -3.865239121E-02 -3.164830262E-01 
        86 -1.128030216E-01 -3.855036520E-02 -1.134401099E-01 
        87 -3.925802323E-01 -3.844160436E-02 -3.185940854E-01 
        88 -1.089737487E-01 -3.840716392E-02 -1.119096157E-01 
        89 -1.051377474E-01 -3.826170883E-02 -1.103905755E-01 
        90 -3.949994630E-01 -3.822429040E-02 -3.206236013E-01 
        91 -1.012952542E-01 -3.811401193E-02 -1.088820596E-01 
        92 -3.973943233E-01 -3.800042538E-02 -3.225666335E-01 
        93 -9.744650610E-02 -3.796408475E-02 -1.073831820E-01 
        94 -9.359174061E-02 -3.781193850E-02 -1.058930594E-01 
        95 -3.997646656E-01 -3.776998809E-02 -3.244180814E-01 
        96 -8.973119547E-02 -3.765758413E-02 -1.044108032E-01 
        97 -4.021103438E-01 -3.753296007E-02 -3.261726763E-01 
        98 -8.586510882E-02 -3.750103237E-02 -1.029355198E-01 
        99 -8.199371913E-02 -3.734229385E-02 -1.014663187E-01 
       100 -4.044312132E-01 -3.728932565E-02 -3.278249730E-01 
       101 -7.811726521E-02 -3.718137916E-02 -1.000023166E-01 
       102 -4.067271309E-01 -3.703907200E-02 -3.293693406E-01 
       103 -7.423598617E-02 -3.701829894E-02 -9.854264075E-02 
       104 -7.035012144E-02 -3.685306392E-02 -9.708643168E-02 
       105 -4.089979552E-01 -3.678218913E-02 -3.307999533E-01 
       106 -6.645991072E-02 -3.668568504E-02 -9.563284532E-02 
       107 -4.112435462E-01 -3.651866998E-02 -3.321107793E-01 
       108 -6.256559396E-02 -3.651617351E-02 -9.418105480E-02 
       109 -5.866741139E-02 -3.634454085E-02 -9.273025222E-02 
       110 -4.134637655E-01 -3.624851037E-02 -3.332955695E-01 
       111 -5.476560346E-02 -3.617079903E-02 -9.127965015E-02 
       112 -5.086041086E-02 -3.599496049E-02 -8.982848308E-02 
       113 -4.156584762E-01 -3.597170909E-02 -3.343478456E-01 
       114 -4.695207449E-02 -3.581703823E-02 -8.837600883E-02 
       115 -4.178275431E-01 -3.568826788E-02 -3.352608859E-01 
