nodenumber     x-coordinate     y-coordinate pressure-coefficient 
         1 -2.809555191E-01 -4.228343700E-02 -3.698333804E-01 
         2 -2.841949771E-01 -4.228279136E-02 -3.744754240E-01 
         3 -2.776987240E-01 -4.227986010E-02 -3.652481271E-01 
         4 -2.874168984E-01 -4.227785207E-02 -3.791741736E-01 
         5 -2.744247927E-01 -4.227213121E-02 -3.607196140E-01 
         6 -2.906210840E-01 -4.226854750E-02 -3.839294509E-01 
         7 -2.711339273E-01 -4.226032024E-02 -3.562477279E-01 
         8 -2.938073365E-01 -4.225480565E-02 -3.887409940E-01 
         9 -2.678263307E-01 -4.224449632E-02 -3.518322494E-01 
        10 -2.969754592E-01 -4.223655415E-02 -3.936084517E-01 
        11 -2.645022068E-01 -4.222472783E-02 -3.474730659E-01 
        12 -3.001252568E-01 -4.221372045E-02 -3.985313873E-01 
        13 -2.611617609E-01 -4.220108223E-02 -3.431705913E-01 
        14 -3.032565350E-01 -4.218623182E-02 -4.035092534E-01 
        15 -2.578051988E-01 -4.217362604E-02 -3.389253837E-01 
        16 -3.063691006E-01 -4.215401549E-02 -4.085414936E-01 
        17 -2.544327276E-01 -4.214242478E-02 -3.347377294E-01 
        18 -3.094627616E-01 -4.211699873E-02 -4.136272544E-01 
        19 -2.510445554E-01 -4.210754286E-02 -3.306076593E-01 
        20 -3.125373273E-01 -4.207510895E-02 -4.187653985E-01 
        21 -2.476408912E-01 -4.206904358E-02 -3.265350047E-01 
        22 -3.155926080E-01 -4.202827378E-02 -4.239549786E-01 
        23 -2.442219449E-01 -4.202698903E-02 -3.225194823E-01 
        24 -2.407879273E-01 -4.198144004E-02 -3.185607333E-01 
        25 -3.186284153E-01 -4.197642118E-02 -4.291949216E-01 
        26 -2.373390504E-01 -4.193245617E-02 -3.146583331E-01 
        27 -3.216445619E-01 -4.191947954E-02 -4.344837936E-01 
        28 -2.338755268E-01 -4.188009561E-02 -3.108118088E-01 
        29 -3.246408618E-01 -4.185737776E-02 -4.398206225E-01 
        30 -2.303975702E-01 -4.182441517E-02 -3.070206574E-01 
        31 -3.276171302E-01 -4.179004533E-02 -4.452047310E-01 
        32 -2.269053952E-01 -4.176547022E-02 -3.032843351E-01 
        33 -3.305731835E-01 -4.171741250E-02 -4.506351315E-01 
        34 -2.233992171E-01 -4.170331470E-02 -2.996022600E-01 
        35 -3.335088394E-01 -4.163941028E-02 -4.561107643E-01 
        36 -2.198792522E-01 -4.163800103E-02 -2.959738133E-01 
        37 -2.163457176E-01 -4.156958013E-02 -2.923983403E-01 
        38 -3.364239169E-01 -4.155597060E-02 -4.616304683E-01 
        39 -2.127988314E-01 -4.149810136E-02 -2.888751506E-01 
        40 -3.393182361E-01 -4.146702641E-02 -4.671929756E-01 
        41 -2.092388122E-01 -4.142361255E-02 -2.854035175E-01 
        42 -3.421916186E-01 -4.137251171E-02 -4.727969168E-01 
        43 -2.056658797E-01 -4.134615994E-02 -2.819826807E-01 
        44 -3.450438871E-01 -4.127236172E-02 -4.784408259E-01 
        45 -2.020802543E-01 -4.126578817E-02 -2.786118473E-01 
        46 -1.984821572E-01 -4.118254033E-02 -2.752901914E-01 
        47 -3.478748658E-01 -4.116651292E-02 -4.841231341E-01 
        48 -1.948718102E-01 -4.109645789E-02 -2.720168552E-01 
        49 -3.506843800E-01 -4.105490318E-02 -4.898421503E-01 
        50 -1.912494362E-01 -4.100758073E-02 -2.687909502E-01 
        51 -3.534722565E-01 -4.093747183E-02 -4.955960892E-01 
        52 -1.876152585E-01 -4.091594717E-02 -2.656115584E-01 
        53 -1.839695013E-01 -4.082159393E-02 -2.624777336E-01 
        54 -3.562383233E-01 -4.081415972E-02 -5.013830579E-01 
        55 -1.803123896E-01 -4.072455620E-02 -2.593885021E-01 
        56 -3.589824098E-01 -4.068490938E-02 -5.072012890E-01 
        57 -1.766441488E-01 -4.062486760E-02 -2.563428652E-01 
        58 -3.617043469E-01 -4.054966505E-02 -5.130493018E-01 
        59 -1.729650054E-01 -4.052256027E-02 -2.533397996E-01 
        60 -1.692751861E-01 -4.041766483E-02 -2.503782595E-01 
        61 -3.644039666E-01 -4.040837276E-02 -5.189254739E-01 
        62 -1.655749186E-01 -4.031021044E-02 -2.474571779E-01 
        63 -3.670811026E-01 -4.026098045E-02 -5.248278067E-01 
        64 -1.618644313E-01 -4.020022485E-02 -2.445754679E-01 
        65 -3.697355896E-01 -4.010743803E-02 -5.307540781E-01 
        66 -1.581439529E-01 -4.008773440E-02 -2.417320247E-01 
        67 -1.544137129E-01 -3.997276409E-02 -2.389257268E-01 
        68 -3.723672640E-01 -3.994769744E-02 -5.367019809E-01 
        69 -1.506739415E-01 -3.985533762E-02 -2.361554378E-01 
        70 -3.749759635E-01 -3.978171275E-02 -5.426691819E-01 
        71 -1.469248693E-01 -3.973547741E-02 -2.334200081E-01 
        72 -1.431667276E-01 -3.961320470E-02 -2.307182767E-01 
        73 -3.775615273E-01 -3.960944022E-02 -5.486532841E-01 
        74 -1.393997483E-01 -3.948853954E-02 -2.280490724E-01 
        75 -3.801237959E-01 -3.943083838E-02 -5.546515430E-01 
        76 -1.356241636E-01 -3.936150092E-02 -2.254112162E-01 
        77 -3.826626113E-01 -3.924586808E-02 -5.606553752E-01 
        78 -1.318402065E-01 -3.923210675E-02 -2.228035223E-01 
        79 -1.280481104E-01 -3.910037398E-02 -2.202248004E-01 
        80 -3.851778170E-01 -3.905449256E-02 -5.666622525E-01 
        81 -1.242481093E-01 -3.896631865E-02 -2.176738572E-01 
        82 -3.876692579E-01 -3.885667754E-02 -5.726759265E-01 
        83 -1.204404374E-01 -3.882995593E-02 -2.151494982E-01 
        84 -1.166253297E-01 -3.869130022E-02 -2.126505294E-01 
        85 -3.901367804E-01 -3.865239121E-02 -5.786954615E-01 
        86 -1.128030216E-01 -3.855036520E-02 -2.101757593E-01 
        87 -3.925802323E-01 -3.844160436E-02 -5.847199261E-01 
        88 -1.089737487E-01 -3.840716392E-02 -2.077240005E-01 
        89 -1.051377474E-01 -3.826170883E-02 -2.052940715E-01 
        90 -3.949994630E-01 -3.822429040E-02 -5.907477664E-01 
        91 -1.012952542E-01 -3.811401193E-02 -2.028847983E-01 
        92 -3.973943233E-01 -3.800042538E-02 -5.967769145E-01 
        93 -9.744650610E-02 -3.796408475E-02 -2.004950167E-01 
        94 -9.359174061E-02 -3.781193850E-02 -1.981235735E-01 
        95 -3.997646656E-01 -3.776998809E-02 -6.028047135E-01 
        96 -8.973119547E-02 -3.765758413E-02 -1.957693284E-01 
        97 -4.021103438E-01 -3.753296007E-02 -6.088279756E-01 
        98 -8.586510882E-02 -3.750103237E-02 -1.934311560E-01 
        99 -8.199371913E-02 -3.734229385E-02 -1.911079470E-01 
       100 -4.044312132E-01 -3.728932565E-02 -6.148430591E-01 
       101 -7.811726521E-02 -3.718137916E-02 -1.887986105E-01 
       102 -4.067271309E-01 -3.703907200E-02 -6.208458699E-01 
       103 -7.423598617E-02 -3.701829894E-02 -1.865020750E-01 
       104 -7.035012144E-02 -3.685306392E-02 -1.842172907E-01 
       105 -4.089979552E-01 -3.678218913E-02 -6.268310977E-01 
       106 -6.645991072E-02 -3.668568504E-02 -1.819432306E-01 
       107 -4.112435462E-01 -3.651866998E-02 -6.327930636E-01 
       108 -6.256559396E-02 -3.651617351E-02 -1.796788927E-01 
       109 -5.866741139E-02 -3.634454085E-02 -1.774233009E-01 
       110 -4.134637655E-01 -3.624851037E-02 -6.387269099E-01 
       111 -5.476560346E-02 -3.617079903E-02 -1.751755075E-01 
       112 -5.086041086E-02 -3.599496049E-02 -1.729345946E-01 
       113 -4.156584762E-01 -3.597170909E-02 -6.446280081E-01 
       114 -4.695207449E-02 -3.581703823E-02 -1.706996767E-01 
       115 -4.178275431E-01 -3.568826788E-02 -6.504917086E-01 
       116 -4.304083541E-02 -3.563704586E-02 -1.684699040E-01 
       117 -3.912693491E-02 -3.545499769E-02 -1.662444676E-01 
       118 -4.199708326E-01 -3.539819144E-02 -6.563133064E-01 
       119 -3.521061439E-02 -3.527090879E-02 -1.640226084E-01 
       120 -4.220882125E-01 -3.510148749E-02 -6.620880320E-01 
       121 -3.129211545E-02 -3.508479505E-02 -1.618036278E-01 
       122 -2.737167978E-02 -3.489667322E-02 -1.595869114E-01 
       123 -4.241795525E-01 -3.479816672E-02 -6.678113366E-01 
       124 -2.344954923E-02 -3.470656099E-02 -1.573718590E-01 
       125 -1.952596572E-02 -3.451447704E-02 -1.551577203E-01 
       126 -4.262447235E-01 -3.448824283E-02 -6.734778451E-01 
       127 -1.560117128E-02 -3.432044110E-02 -1.529437016E-01 
       128 -4.282835985E-01 -3.417173254E-02 -6.790819837E-01 
       129 -1.167540801E-02 -3.412447397E-02 -1.507291745E-01 
       130 -7.748918070E-03 -3.392659759E-02 -1.485136169E-01 
       131 -4.302960518E-01 -3.384865556E-02 -6.846183717E-01 
       132 -3.821943655E-03 -3.372683506E-02 -1.462965362E-01 
       133  1.052729985E-04 -3.352521073E-02 -1.440774820E-01 
       134 -4.322819594E-01 -3.351903461E-02 -6.900808581E-01 
       135  4.032489642E-03 -3.332175014E-02 -1.418560456E-01 
       136 -4.342411991E-01 -3.318289542E-02 -6.954559041E-01 
       137  7.959464029E-03 -3.311648017E-02 -1.396318612E-01 
       138  1.188595393E-02 -3.290942895E-02 -1.374046052E-01 
       139 -4.361736502E-01 -3.284026667E-02 -7.007147382E-01 
       140  1.581171713E-02 -3.270062597E-02 -1.351739970E-01 
       141 -4.380791937E-01 -3.249118006E-02 -7.058496660E-01 
       142  1.973651149E-02 -3.249010207E-02 -1.329397986E-01 
       143  2.366009490E-02 -3.227788943E-02 -1.307018149E-01 
       144 -4.399577124E-01 -3.213567023E-02 -7.108708271E-01 
       145  2.758222534E-02 -3.206402162E-02 -1.284598933E-01 
       146  3.150266087E-02 -3.184853359E-02 -1.262139235E-01 
       147 -4.418090905E-01 -3.177377476E-02 -7.157782305E-01 
       148  3.542115968E-02 -3.163146168E-02 -1.239638373E-01 
       149  3.933748004E-02 -3.141284360E-02 -1.217096084E-01 
       150 -4.436332142E-01 -3.140553417E-02 -7.205692691E-01 
       151  4.325138039E-02 -3.119271845E-02 -1.194512515E-01 
       152 -4.454299711E-01 -3.103099185E-02 -7.252369635E-01 
       153  4.716261930E-02 -3.097112670E-02 -1.171888220E-01 
       154  5.107095550E-02 -3.074811018E-02 -1.149224149E-01 
       155 -4.471992509E-01 -3.065019411E-02 -7.297722317E-01 
       156  5.497614792E-02 -3.052371204E-02 -1.126521643E-01 
       157  5.887795568E-02 -3.029797677E-02 -1.103782420E-01 
       158 -4.489409446E-01 -3.026319007E-02 -7.341645868E-01 
       159  6.277613807E-02 -3.007095014E-02 -1.081008559E-01 
       160 -4.506549452E-01 -2.987003169E-02 -7.384025445E-01 
       161  6.667045467E-02 -2.984267918E-02 -1.058202483E-01 
       162  7.056066524E-02 -2.961321216E-02 -1.035366944E-01 
       163 -4.523411473E-01 -2.947077371E-02 -7.424737225E-01 
       164  7.444652982E-02 -2.938259853E-02 -1.012504988E-01 
